grupo,nav_count,nav_percentile,nav_robust_z,top1_count,top1_start,top1_end,n_windows
sexo_desc=hombre,162,0.6183844011142061,0.36318733202585896,210.0,2024-05-14,2024-05-21,359
sexo_desc=mujer,25,0.025787965616045846,-1.8885741265344667,65.0,2024-05-05,2024-05-12,349
sexo_desc=no_especificado,0,,,,,,0
edad_grupo=0-14,1,0.0,-6.7449075947659525,15.0,2024-07-12,2024-07-19,163
edad_grupo=15-24,41,0.2457627118644068,-0.6744907594765952,69.0,2024-04-28,2024-05-05,354
edad_grupo=25-34,64,0.8547486033519553,1.1241512657943253,86.0,2024-06-24,2024-07-01,358
edad_grupo=35-44,36,0.3305084745762712,-0.5058680696074465,68.0,2024-04-19,2024-04-26,354
edad_grupo=45-54,22,0.13157894736842105,-1.1241512657943253,39.0,2024-02-25,2024-03-03,342
edad_grupo=55-64,14,0.20608108108108109,-1.011736139214893,24.0,2024-04-25,2024-05-02,296
edad_grupo=65-74,6,0.0,-4.046944556859572,17.0,2024-05-24,2024-05-31,193
edad_grupo=75+,1,0.0,-5.395926075812762,14.0,2024-05-16,2024-05-23,151
edad_grupo=nan,2,0.0,,9.0,2024-03-24,2024-03-31,64
escolarida_desc=Bachillerato o preparatoria completo,20,0.08571428571428572,-1.5738117721120555,41.0,2024-04-21,2024-04-28,350
escolarida_desc=Bachillerato o preparatoria incompleto,13,0.06493506493506493,-1.6862268986914881,32.0,2024-05-04,2024-05-11,308
escolarida_desc=No especificado,5,0.0,-4.721435316336167,17.0,2024-07-01,2024-07-08,213
escolarida_desc=Posgrado,1,0.0,-5.395926075812762,10.0,2024-06-08,2024-06-15,38
escolarida_desc=Preescolar,0,,,,,,0
escolarida_desc=Primaria completa,39,0.8084507042253521,1.011736139214893,53.0,2024-04-15,2024-04-22,355
escolarida_desc=Primaria incompleta,12,0.0,-1.5738117721120555,31.0,2024-05-21,2024-05-28,321
escolarida_desc=Profesional,15,0.08083832335329341,-1.5738117721120555,34.0,2024-07-16,2024-07-23,334
escolarida_desc=Secundaria completa,65,0.876750700280112,1.4838796708485096,80.0,2024-06-03,2024-06-10,357
escolarida_desc=Secundaria incompleta,10,0.009933774834437087,-1.5738117721120555,26.0,2024-08-02,2024-08-09,302
escolarida_desc=Sin escolaridad,7,0.0,-2.697963037906381,17.0,2024-06-11,2024-06-18,200
conindig_desc=no,153,0.5403899721448467,0.04817791139118537,195.0,2024-04-19,2024-04-26,359
conindig_desc=no_aplica,10,0.11450381679389313,-1.2140833670578715,36.0,2024-04-29,2024-05-06,262
conindig_desc=no_especificado,14,0.02416918429003021,-2.0234722784297854,45.0,2024-05-22,2024-05-29,331
conindig_desc=si,10,0.11284046692607004,-1.011736139214893,19.0,2024-08-22,2024-08-29,257
